Gene name;Type;Animal_db;Cis_bp;Tf_class_id;GTRD_uniprot_id;Function;Specie
che-1;TF;WBGene00000483;T131550_2.00;unmatched;Q966L8;;Caenorhabditis elegans
ztf-26;TF;WBGene00010137;T131589_2.00;unmatched;A5JYU2;;Caenorhabditis elegans
ceh-89;TF;WBGene00009231;T224656_2.00;unmatched;unmatched;;Caenorhabditis elegans
dpy-20;TF;WBGene00001079;T027893_2.00;unmatched;unmatched;;Caenorhabditis elegans
hlh-32;TF;WBGene00013665;T046305_2.00;unmatched;unmatched;;Caenorhabditis elegans
R07E5.5;TF;WBGene00011113;T131594_2.00;unmatched;unmatched;;Caenorhabditis elegans
egrh-3;TF;WBGene00044651;T131650_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-61;TF;WBGene00003651;T306175_2.00;unmatched;unmatched;;Caenorhabditis elegans
M03D4.4;TF;WBGene00019751;T131634_2.00;unmatched;Q21494;;Caenorhabditis elegans
crh-2;TF;WBGene00016162;T069412_2.00;unmatched;Q09636;;Caenorhabditis elegans
ham-2;TF;WBGene00001821;T131556_2.00;unmatched;A3RMS3;;Caenorhabditis elegans
hmg-5;TF;WBGene00001975;T333271_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-30;TF;WBGene00000451;T224615_2.00;unmatched;Q22909;;Caenorhabditis elegans
nhr-40;TF;WBGene00003630;T306155_2.00;unmatched;unmatched;;Caenorhabditis elegans
tbx-8;TF;WBGene00006545;T340935_2.00;unmatched;Q22292;;Caenorhabditis elegans
ceh-63;TF;WBGene00045215;T224682_2.00;unmatched;A3FPJ2;;Caenorhabditis elegans
Y87G2A.19;TF;WBGene00044260;unmatched;unmatched;unmatched;;Caenorhabditis elegans
nhr-237;TF;WBGene00021610;T306380_2.00;unmatched;Q966B8;;Caenorhabditis elegans
ceh-88;TF;WBGene00008195;T224654_2.00;unmatched;unmatched;;Caenorhabditis elegans
ztf-6;TF;WBGene00012317;T131601_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-54;TF;WBGene00003644;T306168_2.00;unmatched;unmatched;;Caenorhabditis elegans
let-607;TF;WBGene00002783;T069400_2.00;unmatched;O44743;;Caenorhabditis elegans
tbx-38;TF;WBGene00006557;T340946_2.00;unmatched;Q9XVD5;;Caenorhabditis elegans
nhr-139;TF;WBGene00016365;T306326_2.00;unmatched;unmatched;;Caenorhabditis elegans
tab-1;TF;WBGene00006380;T224640_2.00;unmatched;unmatched;;Caenorhabditis elegans
C27A12.2;TF;WBGene00016154;T131618_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-81;TF;WBGene00018434;T224669_2.00;unmatched;unmatched;;Caenorhabditis elegans
sea-2;TF;WBGene00004751;T131571_2.00;unmatched;S6EZL2;;Caenorhabditis elegans
hlh-12;TF;WBGene00001956;T046280_2.00;unmatched;Q18277;;Caenorhabditis elegans
mml-1;TF;WBGene00003378;T046296_2.00;unmatched;P41846;;Caenorhabditis elegans
nhr-25;TF;WBGene00003623;T306148_2.00;unmatched;Q19345;;Caenorhabditis elegans
hmg-1;TF;WBGene00001971;T333267_2.00;unmatched;unmatched;;Caenorhabditis elegans
Y40H7A.11;TF;WBGene00012748;unmatched;unmatched;unmatched;;Caenorhabditis elegans
lin-39;TF;WBGene00003024;T224632_2.00;unmatched;P34684;;Caenorhabditis elegans
unc-3;TF;WBGene00006743;T174782_2.00;unmatched;Q93705;;Caenorhabditis elegans
bro-1;TF;WBGene00000272;unmatched;unmatched;unmatched;;Caenorhabditis elegans
nhr-80;TF;WBGene00003670;T306193_2.00;unmatched;O76668;;Caenorhabditis elegans
dmd-11;TF;WBGene00007930;T169435_2.00;unmatched;unmatched;;Caenorhabditis elegans
dmd-8;TF;WBGene00020708;T169439_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-73;TF;WBGene00003663;T306187_2.00;unmatched;unmatched;;Caenorhabditis elegans
sox-2;TF;WBGene00004949;T333274_2.00;unmatched;unmatched;;Caenorhabditis elegans
tra-1;TF;WBGene00006604;T131576_2.00;unmatched;P34708;;Caenorhabditis elegans
C30G4.4;TF;WBGene00016269;unmatched;unmatched;unmatched;;Caenorhabditis elegans
egl-46;TF;WBGene00001210;T131553_2.00;unmatched;unmatched;;Caenorhabditis elegans
Y37D8A.8;TF;WBGene00012549;unmatched;unmatched;unmatched;;Caenorhabditis elegans
atf-5;TF;WBGene00000221;T069394_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-123;TF;WBGene00003713;T306235_2.00;unmatched;unmatched;;Caenorhabditis elegans
unc-42;TF;WBGene00006778;T224646_2.00;unmatched;N1NSG8;;Caenorhabditis elegans
B0310;TF;WBGene00015138;T131614_2.00;unmatched;Q10938;;Caenorhabditis elegans
ZK546.5;TF;WBGene00022762;unmatched;unmatched;Q23521;;Caenorhabditis elegans
mxl-2;TF;WBGene00003510;T046298_2.00;unmatched;unmatched;;Caenorhabditis elegans
gei-13;TF;WBGene00001570;T027894_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-152;TF;WBGene00015705;T306315_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-183;TF;WBGene00018266;T306344_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-97;TF;WBGene00003687;T306209_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-211;TF;WBGene00020152;T306364_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-258;TF;WBGene00016126;T306323_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-84;TF;WBGene00003674;T306197_2.00;unmatched;O45756;;Caenorhabditis elegans
snpc-4;TF;WBGene00001568;T282143_2.00;unmatched;P91868;;Caenorhabditis elegans
ada-2;TF;WBGene00017967;unmatched;unmatched;unmatched;;Caenorhabditis elegans
swsn-7;TF;WBGene00007433;T016932_2.00;unmatched;Q09441;;Caenorhabditis elegans
pag-3;TF;WBGene00003909;T131567_2.00;unmatched;G5EDE1;;Caenorhabditis elegans
nhr-186;TF;WBGene00018541;T306350_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-201;TF;WBGene00019741;T306358_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-91;TF;WBGene00013425;T224660_2.00;unmatched;unmatched;;Caenorhabditis elegans
unc-39;TF;WBGene00006775;T224645_2.00;unmatched;O17894;;Caenorhabditis elegans
ceh-92;TF;WBGene00013431;T224661_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-105;TF;WBGene00003695;T306217_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-13;TF;WBGene00003612;T306137_2.00;unmatched;unmatched;;Caenorhabditis elegans
hlh-28;TF;WBGene00001967;T046290_2.00;unmatched;unmatched;;Caenorhabditis elegans
ces-1;TF;WBGene00000468;T131549_2.00;unmatched;G5ECN8;;Caenorhabditis elegans
fkh-9;TF;WBGene00001441;T188807_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-2;TF;WBGene00003601;T306126_2.00;unmatched;Q10902;;Caenorhabditis elegans
klu-1;TF;WBGene00013970;T131613_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-3;TF;WBGene00003602;T306127_2.00;unmatched;unmatched;;Caenorhabditis elegans
