Месяц	Цена, USD
2002-01-01	19.275
2002-02-01	19.975
2002-03-01	24.15
2002-04-01	25.67
2002-05-01	25.92
2002-06-01	23.905
2002-07-01	25.715
2002-08-01	26.995
2002-09-01	28.365
2002-10-01	28.085
2002-11-01	24.34
2002-12-01	28.385
2003-01-01	31.25
2003-02-01	32.565
2003-03-01	32.33
2003-04-01	24.995
2003-05-01	25.98
2003-06-01	27.55
2003-07-01	28.28
2003-08-01	30.01
2003-09-01	27.08
2003-10-01	29.51
2003-11-01	28.78
2003-12-01	29.75
2004-01-01	31.29
2004-02-01	30.87
2004-03-01	34.045
2004-04-01	33.4875
2004-05-01	37.435
2004-06-01	35.2775
2004-07-01	38.78
2004-08-01	43.155
2004-09-01	42.2225
2004-10-01	49.935
2004-11-01	43.01
2004-12-01	39.695
2005-01-01	45.105
2005-02-01	44.92
2005-03-01	52.78
2005-04-01	51.86
2005-05-01	49.105
2005-06-01	53.8825
2005-07-01	57.005
2005-08-01	64.725
2005-09-01	62.505
2005-10-01	58.39
2005-11-01	54.89
2005-12-01	56.575
2006-01-01	63.005
2006-02-01	59.815
2006-03-01	62.54
2006-04-01	70.22
2006-05-01	70.08
2006-06-01	68.735
2006-07-01	73.725
2006-08-01	72.95
2006-09-01	62.1625
2006-10-01	58.565
2006-11-01	57.6
2006-12-01	62.305
2007-01-01	54.725
2007-02-01	57.41
2007-03-01	61.04
2007-04-01	68.07
2007-05-01	68.755
2007-06-01	71.8375
2007-07-01	78.095
2007-08-01	70.995
2007-09-01	78.3175
2007-10-01	83.0275
2007-11-01	91.9
2007-12-01	91.38
2008-01-01	91.5
2008-02-01	94.655
2008-03-01	102.745
2008-04-01	111.0975
2008-05-01	124.8
2008-06-01	135.0325
2008-07-01	135.615
2008-08-01	114.72
2008-09-01	102.055
2008-10-01	71.49
2008-11-01	54.625
2008-12-01	43.405
2009-01-01	46.225
2009-02-01	45.035
2009-03-01	46.93
2009-04-01	51.69
2009-05-01	58.39
2009-06-01	69.3325
2009-07-01	66.0725
2009-08-01	73.09
2009-09-01	68.4325
2009-10-01	75.17
2009-11-01	77.5775
2009-12-01	74.345
2010-01-01	77.07
2010-02-01	74.58
2010-03-01	79.85
2010-04-01	85.77
2010-05-01	77.46
2010-06-01	75.8925
2010-07-01	75.58
2010-08-01	76.48
2010-09-01	78.36
2010-10-01	83.2325
2010-11-01	86.0075
2010-12-01	91.7875
2011-01-01	97.2
2011-02-01	102.4975
2011-03-01	115.15
2011-04-01	122.805
2011-05-01	112.7425
2011-06-01	114.285
2011-07-01	117.2725
2011-08-01	108.7
2011-09-01	110.3
2011-10-01	109.425
2011-11-01	109.8925
2011-12-01	107.975
2012-01-01	111.24
2012-02-01	118.65
2012-03-01	124.52
2012-04-01	119.615
2012-05-01	110.28
2012-06-01	97.095
2012-07-01	102.295
2012-08-01	112.405
2012-09-01	113.12
2012-10-01	110.865
2012-11-01	108.465
2012-12-01	108.685
2013-01-01	111.0425
2013-02-01	115.9375
2013-03-01	109.37
2013-04-01	102.8675
2013-05-01	103.105
2013-06-01	103.095
2013-07-01	107.245
2013-08-01	109.5725
2013-09-01	110.275
2013-10-01	109.21
2013-11-01	107.72
2013-12-01	110.92
2014-01-01	106.945
2014-02-01	108.87
2014-03-01	107.52
2014-04-01	108.21
2014-05-01	109.465
2014-06-01	112.8625
2014-07-01	107.635
2014-08-01	103.075
2014-09-01	98.3225
2014-10-01	86.7125
2014-11-01	79.795
2014-12-01	61.5475
2015-01-01	49.235
2015-02-01	59.34
2015-03-01	56.175
2015-04-01	62.36
2015-05-01	66.02
2015-06-01	63.87
2015-07-01	57.12
2015-08-01	49.0675
2015-09-01	48.475
2015-10-01	49
2015-11-01	45.685
2015-12-01	37.9025
2016-01-01	31.88
2016-02-01	33.73
2016-03-01	40.3
2016-04-01	43.55
2016-05-01	48.045
2016-06-01	49.9575
2016-07-01	46.855
2016-08-01	47.77
2016-09-01	47.085
2016-10-01	51.6475
2016-11-01	46.85
2016-12-01	54.71
2017-01-01	55.7
2017-02-01	56.165
2017-03-01	51.855
2017-04-01	53.7225
2017-05-01	51.685
2017-06-01	47.76
2017-07-01	48.805
2017-08-01	51.95
2017-09-01	55.385
2017-10-01	57.215
2017-11-01	62.8925
2017-12-01	63.455
2018-01-01	69.065
2018-02-01	65.5225
2018-03-01	65.65
2018-04-01	72.025
2018-05-01	77.255
2018-06-01	76.065
2018-07-01	74.87
2018-08-01	73.125
2018-09-01	78.685
2018-10-01	80.51
2018-11-01	66.9075
2018-12-01	60.165
2019-01-01	60.76
2019-02-01	64.575
2019-03-01	67.0425
2019-04-01	71.27
2019-05-01	70.705
2019-06-01	62.445
2019-07-01	63.865
2019-08-01	59.4225
2019-09-01	61.815
2019-10-01	59.32
2019-11-01	62.52
2019-12-01	65.205
2020-01-01	64.65
2020-02-01	55.935
2020-03-01	31.4
2020-04-01	28.1
2020-05-01	32.3575
2020-06-01	40.7975
2020-07-01	43.11
2020-08-01	45.015
2020-09-01	41.92
2020-10-01	42.0775
2020-11-01	43.8525
2020-12-01	50.365
